parameter,n,h,d,b,k,w,signature_bytes,public_key_bytes,secret_key_bytes,keygen_us,sign_us,verify_us
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131226.77,1546609.12,2141.14
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,130706.72,1557101.81,2146.89
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131622.65,1549730.75,2146.02
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131436.65,1547412.7,2234.4
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131746.72,1548637.78,2141.51
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131877.0,1548291.66,2140.18
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131845.66,1557868.84,2134.92
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131250.67,1550175.21,2198.66
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131728.76,1550987.06,2143.43
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,132322.04,1549348.5,2174.24
sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,64,128,131577.02,1554603.23,2135.38
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8968.17,167629.97,4258.88
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8985.13,168471.79,4280.21
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,9020.51,167513.92,4290.06
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8885.17,168297.99,4212.67
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,9163.45,167955.56,4313.3
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8830.46,167301.51,4229.72
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,9224.16,167162.21,4253.28
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8995.92,168134.71,4211.34
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8833.37,169006.81,4215.79
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8910.66,167901.82,4223.74
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8952.54,170606.52,4221.78
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8883.91,167826.13,4243.71
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,11075.11,168159.06,4238.22
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,9112.65,168068.81,4877.33
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8983.33,167783.52,4273.39
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8896.99,167858.09,4293.14
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8745.87,168821.37,4239.85
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8968.98,167887.85,4356.63
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8899.34,168896.96,4217.14
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,9003.04,167386.23,4240.46
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8989.74,167471.0,4227.98
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,8889.74,168079.19,4217.29
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,9052.06,149071.96,2023.12
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,3998.98,79787.32,2512.56
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,3969.19,80831.91,2025.68
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,3994.57,79386.56,2035.17
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,4022.59,80678.08,2017.99
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,3989.48,79295.04,2012.2
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,3975.89,79562.4,2012.87
sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,64,128,3975.27,79234.91,2010.37
